subject,transitionType,acc,transitionThreatKind
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,l,0,threat-neutral
a2ctbahecdqsix,l,1,neutral-neutral
a2ctbahecdqsix,i,1,neutral-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,l,1,threat-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,i,0,threat-threat
a2ctbahecdqsix,l,1,threat-neutral
a2ctbahecdqsix,i,1,neutral-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,l,1,threat-threat
a2ctbahecdqsix,i,1,threat-neutral
a2ctbahecdqsix,l,1,neutral-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,l,0,threat-threat
a2ctbahecdqsix,i,0,threat-neutral
a2ctbahecdqsix,l,1,neutral-neutral
a2ctbahecdqsix,l,1,neutral-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,l,0,threat-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,l,1,threat-neutral
a2ctbahecdqsix,l,1,neutral-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,l,1,threat-neutral
a2ctbahecdqsix,l,1,neutral-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,i,1,threat-threat
a2ctbahecdqsix,l,1,threat-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,l,1,threat-threat
a2ctbahecdqsix,l,1,threat-threat
a2ctbahecdqsix,l,1,threat-neutral
a2ctbahecdqsix,l,1,neutral-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,l,1,threat-neutral
a2ctbahecdqsix,i,1,neutral-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,i,0,threat-threat
a2ctbahecdqsix,l,1,threat-neutral
a2ctbahecdqsix,l,1,neutral-neutral
a2ctbahecdqsix,l,0,neutral-threat
a2ctbahecdqsix,i,0,threat-threat
a2ctbahecdqsix,l,1,threat-neutral
a2ctbahecdqsix,l,1,neutral-neutral
a2ctbahecdqsix,l,1,neutral-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,l,1,threat-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,l,1,threat-threat
a2ctbahecdqsix,l,1,threat-threat
a2ctbahecdqsix,l,1,threat-neutral
a2ctbahecdqsix,l,1,neutral-neutral
a2ctbahecdqsix,i,1,neutral-neutral
a2ctbahecdqsix,l,1,neutral-neutral
a2ctbahecdqsix,i,0,neutral-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,l,1,threat-neutral
a2ctbahecdqsix,i,1,neutral-neutral
a2ctbahecdqsix,l,1,neutral-neutral
a2ctbahecdqsix,i,1,neutral-neutral
a2ctbahecdqsix,l,1,neutral-neutral
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,0,neutral-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,i,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,i,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,i,1,threat-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,i,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,0,neutral-neutral
a178bxd4ubx932,i,0,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,i,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,i,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,i,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,0,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,i,0,neutral-threat
a178bxd4ubx932,l,1,threat-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,i,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,i,0,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,i,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-threat
a178bxd4ubx932,i,1,threat-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,i,1,threat-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,i,0,neutral-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,i,1,threat-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,i,0,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,i,0,neutral-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,i,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,0,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,i,0,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,i,1,threat-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,i,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,i,1,neutral-threat
a178bxd4ubx932,l,1,threat-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,i,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,0,neutral-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,i,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,i,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-threat
a178bxd4ubx932,i,1,threat-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,i,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,i,0,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,i,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,i,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,i,1,neutral-threat
a178bxd4ubx932,l,1,threat-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,i,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,i,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,i,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,i,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,i,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,i,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,i,1,threat-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a178bxd4ubx932,l,1,neutral-threat
a178bxd4ubx932,l,1,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,i,1,threat-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,i,1,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,i,1,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,i,1,threat-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,i,1,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,i,1,threat-threat
a2tbkohgx08vrk,l,0,threat-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-threat
a2tbkohgx08vrk,i,1,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,i,1,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,1,threat-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,i,1,threat-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,i,1,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,i,1,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,i,1,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,i,1,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,i,1,threat-threat
a2tbkohgx08vrk,l,0,threat-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,i,1,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,i,1,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,i,1,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,i,1,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,1,neutral-neutral
a2tbkohgx08vrk,l,1,neutral-threat
a2tbkohgx08vrk,l,1,threat-neutral
a2tbkohgx08vrk,i,1,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,i,1,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,1,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,1,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,i,1,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,i,1,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,i,1,threat-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,1,neutral-neutral
a2tbkohgx08vrk,i,1,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-threat
a2tbkohgx08vrk,i,1,threat-threat
a2tbkohgx08vrk,l,0,threat-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
